Size class,[Î¼m],p3 [%],SPHT3,Symm3,b/l3,PDN
0,30,1.69,0.703,0.843,0.629,24279350
30,31.6,0.22,0.704,0.86,0.651,148418
31.6,33.4,0.27,0.68,0.848,0.625,154234
33.4,35.2,0.33,0.613,0.811,0.58,162042
35.2,37.1,0.39,0.652,0.844,0.617,148982
37.1,39.1,0.48,0.623,0.82,0.586,165773
39.1,41.2,0.58,0.654,0.841,0.623,177259
41.2,43.5,0.73,0.631,0.826,0.625,200024
43.5,45.8,0.79,0.6,0.805,0.612,172344
45.8,48.3,0.93,0.614,0.817,0.615,172623
48.3,51,1.03,0.628,0.828,0.64,168411
51,53.7,1.08,0.611,0.813,0.595,146299
53.7,56.7,1.36,0.611,0.804,0.624,175176
56.7,59.7,1.42,0.63,0.826,0.64,151618
59.7,63,1.53,0.595,0.803,0.621,142932
63,66.4,1.66,0.629,0.834,0.647,136034
66.4,70,1.79,0.571,0.797,0.61,113231
70,73.8,1.87,0.692,0.821,0.657,97153
73.8,77.9,1.93,0.709,0.821,0.67,94379
77.9,82.1,2.08,0.709,0.829,0.657,92476
82.1,86.6,2.16,0.678,0.81,0.646,66586
86.6,91.3,2.38,0.693,0.826,0.635,78032
91.3,96.2,2.83,0.668,0.817,0.659,65843
96.2,101.5,2.67,0.722,0.823,0.65,67336
101.5,107,2.99,0.766,0.825,0.658,49257
107,112.8,3.13,0.793,0.839,0.667,51094
112.8,119,3.28,0.758,0.824,0.661,43170
119,125.4,3.28,0.767,0.828,0.664,37445
125.4,132.3,3.39,0.755,0.825,0.664,32831
132.3,139.5,3.32,0.745,0.822,0.666,28361
139.5,147,3.19,0.749,0.825,0.672,23172
147,155,3.07,0.741,0.821,0.673,18394
155,163.5,2.93,0.729,0.817,0.673,15290
163.5,172.4,2.69,0.719,0.813,0.671,12056
172.4,181.7,2.44,0.719,0.815,0.673,9220
181.7,191.6,2.24,0.716,0.816,0.679,7244
191.6,202.1,2.04,0.714,0.816,0.683,5865
202.1,213.1,1.84,0.71,0.818,0.685,4351
213.1,224.7,1.66,0.709,0.818,0.686,3424
224.7,236.9,1.48,0.709,0.821,0.687,2648
236.9,249.8,1.31,0.703,0.823,0.69,1913
249.8,263.4,1.17,0.706,0.828,0.695,1515
263.4,277.7,1.08,0.708,0.832,0.688,1153
277.7,292.8,1.04,0.704,0.83,0.684,963
292.8,308.7,0.96,0.707,0.839,0.677,737
308.7,325.5,0.93,0.689,0.833,0.679,612
325.5,343.2,0.91,0.695,0.84,0.681,502
343.2,361.9,0.91,0.71,0.847,0.688,443
361.9,381.6,0.92,0.701,0.845,0.679,376
381.6,402.4,0.97,0.682,0.844,0.663,332
402.4,424.3,0.97,0.689,0.849,0.672,285
424.3,447.3,0.99,0.698,0.855,0.674,245
447.3,471.7,0.9,0.681,0.847,0.675,190
471.7,497.4,0.86,0.679,0.853,0.649,148
497.4,524.4,0.75,0.677,0.858,0.661,116
524.4,553,0.77,0.691,0.851,0.678,107
553,583,0.79,0.674,0.848,0.682,90
583,614.8,0.79,0.713,0.865,0.673,77
614.8,648.2,0.66,0.685,0.856,0.669,50
648.2,683.5,0.58,0.669,0.848,0.644,39
683.5,720.7,0.59,0.643,0.854,0.663,36
720.7,759.9,0.58,0.706,0.877,0.686,30
759.9,801.2,0.56,0.733,0.873,0.662,25
801.2,844.8,0.73,0.723,0.879,0.668,26
844.8,890.8,0.49,0.702,0.877,0.631,13
890.8,939.3,0.38,0.61,0.814,0.675,13
939.3,990.4,0.43,0.675,0.865,0.696,10
990.4,1044.3,0.96,0.725,0.882,0.731,21
1044.3,1101.1,0.47,0.684,0.86,0.687,8
1101.1,1161,0.15,0.66,0.875,0.703,2
1161,1224.2,0.33,0.698,0.895,0.643,4
1224.2,1290.8,0.17,0.693,0.94,0.661,2
1290.8,1361,0.13,0.542,0.905,0.56,1
1361,1435.1,0.31,0.666,0.893,0.714,2
1435.1,1513.2,0.09,0.772,0.911,0.762,1
1513.2,1595.5,0,0,,,
1595.5,1682.3,0.2,0.698,0.859,0.765,1
