Size class,[Âµm],p3 [%],SPHT3,Symm3,b/l3,PDN
0,30,0.04,0.736,0.878,0.58,5238092
30,31.6,0.01,0.79,0.911,0.629,13026
31.6,33.4,0.01,0.816,0.923,0.64,13121
33.4,35.2,0.01,0.822,0.92,0.654,7412
35.2,37.1,0.02,0.799,0.89,0.67,6417
37.1,39.1,0.02,0.716,0.87,0.555,11087
39.1,41.2,0.04,0.706,0.887,0.53,14841
41.2,43.5,0.05,0.745,0.907,0.585,15253
43.5,45.8,0.06,0.713,0.891,0.512,15122
45.8,48.3,0.14,0.682,0.915,0.494,28434
48.3,51,0.25,0.721,0.892,0.525,48388
51,53.7,0.34,0.757,0.899,0.566,58607
53.7,56.7,0.61,0.768,0.909,0.578,102798
56.7,59.7,0.79,0.772,0.908,0.578,111148
59.7,63,1.24,0.775,0.909,0.603,166579
63,66.4,1.72,0.769,0.904,0.608,210076
66.4,70,1.98,0.798,0.907,0.633,189526
70,73.8,2.49,0.826,0.901,0.653,166304
73.8,77.9,3.14,0.829,0.9,0.67,184685
77.9,82.1,3.19,0.865,0.9,0.662,250391
82.1,86.6,3.8,0.828,0.892,0.688,154658
86.6,91.3,3.9,0.855,0.897,0.67,213526
91.3,96.2,3.77,0.835,0.899,0.678,108913
96.2,101.5,3.94,0.881,0.896,0.678,156188
101.5,107,4.74,0.887,0.89,0.685,82455
107,112.8,4.79,0.901,0.898,0.689,140602
112.8,119,4.93,0.887,0.891,0.688,86858
119,125.4,4.81,0.898,0.897,0.698,78265
125.4,132.3,4.87,0.89,0.893,0.694,74550
132.3,139.5,4.68,0.892,0.893,0.705,58164
139.5,147,4.41,0.89,0.894,0.708,45110
147,155,4.15,0.894,0.895,0.715,38312
155,163.5,3.81,0.891,0.894,0.715,30781
163.5,172.4,3.41,0.888,0.893,0.715,22471
172.4,181.7,3.04,0.887,0.892,0.718,16870
181.7,191.6,2.74,0.888,0.893,0.723,13482
191.6,202.1,2.43,0.887,0.894,0.724,9882
202.1,213.1,2.13,0.888,0.895,0.727,7427
213.1,224.7,1.89,0.885,0.895,0.725,5867
224.7,236.9,1.68,0.891,0.897,0.731,4345
236.9,249.8,1.5,0.885,0.895,0.729,3246
249.8,263.4,1.34,0.89,0.897,0.733,2530
263.4,277.7,1.19,0.89,0.897,0.737,1934
277.7,292.8,1.08,0.889,0.897,0.734,1472
292.8,308.7,0.95,0.891,0.898,0.738,1104
308.7,325.5,0.83,0.896,0.901,0.744,874
325.5,343.2,0.68,0.895,0.899,0.746,556
343.2,361.9,0.55,0.893,0.901,0.747,416
361.9,381.6,0.42,0.891,0.899,0.751,263
381.6,402.4,0.36,0.896,0.904,0.76,202
402.4,424.3,0.28,0.892,0.9,0.758,125
424.3,447.3,0.22,0.899,0.901,0.774,90
447.3,471.7,0.14,0.895,0.904,0.755,47
471.7,497.4,0.09,0.88,0.898,0.766,28
497.4,524.4,0.04,0.874,0.897,0.706,11
524.4,553,0.04,0.893,0.905,0.755,9
553,583,0.05,0.819,0.881,0.686,8
583,614.8,0.02,0.872,0.898,0.765,2
614.8,648.2,0.01,0.851,0.898,0.742,1
648.2,683.5,0.05,0.88,0.884,0.8,6
683.5,720.7,0,,,,0
720.7,759.9,0.04,0.79,0.868,0.751,4
759.9,801.2,0.05,0.841,0.912,0.776,3
